Source	Target	Weight
Anqing	Hefei	6.90968
Anqing	Nanjing	0.522632
Anqing	Lu'an	3.002763
Anqing	Shanghai	0.551541
Jinhua	Anqing	0.51562
Suzhou	Anqing	1.734398
Wenzhou	Anqing	0.627124
Shenzhen	Anqing	0.680056
Wuhan	Anqing	1.170733
Hangzhou	Anqing	2.607782
Wuxi	Anqing	0.777425
Suzhou	Anqing	0.518929
Ningbo	Anqing	1.206372
Jiaxing	Anqing	0.714662
Hefei	Anqing	28.461655
Nanchang	Anqing	0.665414
Nanjing	Anqing	2.287744
Lu'an	Anqing	3.438571
Shanghai	Anqing	4.009342
Baoding	Liaocheng	0.631372
Baoding	Shijiazhuang	15.929098
Baoding	Tianjin	3.569098
Baoding	Beijing	8.921485
Shijiazhuang	Baoding	16.052181
Jinan	Baoding	0.513515
Tianjin	Baoding	4.999098
Beijing	Baoding	26.92594
Beijing	Changsha	0.725432
Beijing	Chongqing	1.178628
Beijing	Zhengzhou	1.277989
Beijing	Xi'an	1.103741
Beijing	Liaocheng	3.043778
Beijing	Shijiazhuang	6.542688
Beijing	Yancheng	0.649455
Beijing	Wenzhou	0.581805
Beijing	Shenzhen	0.622895
Beijing	Jinan	2.2175
Beijing	Hanzhong	1.013534
Beijing	Wuhan	0.994267
Beijing	Hangzhou	0.832594
Beijing	Kunming	0.566429
Beijing	Yangzhou	0.715489
Beijing	Chengdu	0.862444
Beijing	Qingyang	1.287425
Beijing	Suzhou	0.536786
Beijing	Anqing	1.042857
Beijing	Tianjin	15.57235
Beijing	Ji'an	0.54265
Beijing	Hefei	0.98718
Beijing	Nanyang	1.798741
Beijing	Nantong	0.703684
Beijing	Nanchang	0.921992
Beijing	Nanjing	1.129493
Beijing	Lanzhou	0.947989
Beijing	Lu'an	0.517575
Beijing	Linyi	1.18906
Beijing	Shanghai	1.53844
Beijing	Sanmenxia	1.075301
Changsha	Beijing	0.526372
Chongqing	Beijing	0.704417
Zhengzhou	Beijing	0.996917
Xi'an	Beijing	0.834361
Liaocheng	Beijing	0.530056
Shijiazhuang	Beijing	2.137444
Shenzhen	Beijing	0.842444
Jinan	Beijing	1.036485
Wuhan	Beijing	0.661241
Hangzhou	Beijing	0.718929
Chengdu	Beijing	1.007519
Guangzhou	Beijing	0.74047
Tianjin	Beijing	7.561598
Nanjing	Beijing	0.637049
Shanghai	Beijing	1.694906
Chengdu	Aqsu	0.845733
Chengdu	Chongqing	11.273722
Chengdu	Xi'an	0.894906
Chengdu	Wenzhou	0.535414
Chengdu	Luzhou	14.231222
Chengdu	Hanzhong	3.291786
Chengdu	Wuhan	0.516184
Chengdu	Kunming	1.246109
Chengdu	Enshi	0.847669
Chengdu	Lanzhou	1.104361
Chengdu	Shanghai	0.738759
Chongqing	Chengdu	6.084681
Xi'an	Chengdu	0.702801
Shenzhen	Chengdu	0.539699
Luzhou	Chengdu	1.864154
Kunming	Chengdu	0.648891
Shanghai	Chengdu	0.665075
Chongqing	Aqsu	0.92235
Chongqing	Changsha	0.561748
Chongqing	Jinhua	0.64406
Chongqing	Shaoxing	0.554417
Chongqing	Wenzhou	1.384962
Chongqing	Shenzhen	0.707406
Chongqing	Wuhan	0.778083
Chongqing	Hangzhou	0.592951
Chongqing	Kunming	1.450451
Chongqing	Enshi	21.908684
Chongqing	Guangzhou	0.523515
Chongqing	Ningbo	0.750977
Chongqing	Jiaxing	0.657406
Chongqing	Taizhou	0.884229
Chongqing	Nanyang	0.517613
Chongqing	Nanchang	0.535357
Chongqing	Lanzhou	0.629925
Chongqing	Shanghai	0.825113
Changsha	Chongqing	0.724793
Wenzhou	Chongqing	0.553402
Shenzhen	Chongqing	1.492274
Wuhan	Chongqing	0.860545
Hangzhou	Chongqing	0.802575
Kunming	Chongqing	1.362632
Enshi	Chongqing	3.203271
Guangzhou	Chongqing	1.330019
Shanghai	Chongqing	1.462726
Dalian	Shenyang	4.575357
Qingdao	Dalian	1.304116
Shenzhen	Dalian	0.573139
Jinan	Dalian	0.597632
Shenyang	Dalian	13.372255
Hangzhou	Dalian	0.579511
Chengdu	Dalian	0.596316
Guangzhou	Dalian	0.642594
Tianjin	Dalian	1.655395
Nanjing	Dalian	0.551316
Beijing	Dalian	3.393101
Shanghai	Dalian	2.046485
Enshi	Wuhan	2.021729
Changsha	Enshi	0.965545
Jinhua	Enshi	0.681109
Wenzhou	Enshi	1.130771
Shenzhen	Enshi	0.710451
Wuhan	Enshi	12.93656
Hangzhou	Enshi	0.669135
Foshan	Chongqing	0.593459
Foshan	Yulin	3.729098
Foshan	Shenzhen	2.629718
Foshan	Luzhou	0.540056
Foshan	Meizhou	3.765075
Foshan	Guangzhou	26.156071
Foshan	Ji'an	0.924117
Foshan	Nanning	1.666673
Yulin	Foshan	0.679718
Shenzhen	Foshan	3.189831
Guangzhou	Foshan	40.817539
Nanning	Foshan	0.601466
Guangzhou	Changsha	1.469229
Guangzhou	Wenzhou	1.020959
Guangzhou	Shenzhen	8.871974
Guangzhou	Wuhan	0.848252
Guangzhou	Hangzhou	0.518872
Guangzhou	Kunming	0.530207
Guangzhou	Enshi	0.800244
Changsha	Guangzhou	0.697707
Shenzhen	Guangzhou	6.825357
Harbin	Qingdao	0.550395
Harbin	Shenyang	1.445789
Harbin	Tianjin	0.530508
Harbin	Dalian	1.880996
Harbin	Beijing	0.611109
Qingdao	Harbin	0.879925
Shenzhen	Harbin	0.549342
Shenyang	Harbin	2.589662
Hangzhou	Harbin	0.590545
Guangzhou	Harbin	0.605996
Tianjin	Harbin	1.412312
Dalian	Harbin	1.18844
Beijing	Harbin	3.249492
Shanghai	Harbin	1.250188
Chongqing	Haikou	0.501335
Shenzhen	Haikou	0.838496
Guangzhou	Haikou	1.204417
Beijing	Haikou	0.809605
Shanghai	Haikou	0.536992
Hangzhou	Jinhua	20.292801
Hangzhou	Suzhou	2.187218
Hangzhou	Shaoxing	40.532574
Hangzhou	Yancheng	1.116654
Hangzhou	Wenzhou	10.607594
Hangzhou	Taizhou	1.000977
Jinhua	Hangzhou	6.763778
Suzhou	Hangzhou	1.877594
Shaoxing	Hangzhou	13.760376
Wenzhou	Hangzhou	2.728628
Shenzhen	Hangzhou	0.525865
Hanzhong	Xi'an	2.451654
Chongqing	Hanzhong	1.653853
Xi'an	Hanzhong	29.664267
Suzhou	Hanzhong	0.760113
Shenzhen	Hanzhong	1.204436
Guangzhou	Hanzhong	0.537387
Shanghai	Hanzhong	0.77391
Hefei	Jinhua	0.516598
Hefei	Suzhou	0.983816
Hefei	Yancheng	0.50297
Hefei	Wenzhou	0.511071
Hefei	Taizhou	0.564079
Hefei	Wuhan	0.568665
Hefei	Hangzhou	0.803534
Hefei	Wuxi	0.976748
Hefei	Yangzhou	0.94515
Hefei	Suzhou	7.827557
Hefei	Ningbo	0.786109
Hefei	Jiaxing	0.515865
Suzhou	Hefei	1.454887
Wuhan	Hefei	0.710244
Hangzhou	Hefei	1.321748
Wuxi	Hefei	0.798665
Suzhou	Hefei	2.860075
Ningbo	Hefei	0.547143
Hohhot	Beijing	0.573797
Xi'an	Hohhot	0.511899
Tianjin	Hohhot	0.853778
Beijing	Hohhot	4.17032
Baoding	Hohhot	0.62985
Huzhou	Jinhua	1.449662
Huzhou	Suzhou	2.499436
Huzhou	Zhoushan	0.84844
Huzhou	Shaoxing	1.866541
Huzhou	Wenzhou	0.947707
Huzhou	Hangzhou	9.792782
Huzhou	Wuxi	1.312368
Huzhou	Anqing	1.741899
Huzhou	Ningbo	1.737932
Huzhou	Jiaxing	6.958308
Huzhou	Taizhou	1.156805
Huzhou	Nantong	0.566711
Huzhou	Shanghai	1.62515
Jinhua	Huzhou	1.896635
Suzhou	Huzhou	8.367312
Shaoxing	Huzhou	2.204662
Wenzhou	Huzhou	0.944868
Hangzhou	Huzhou	32.296486
Wuxi	Huzhou	2.416955
Anqing	Huzhou	1.124135
Ningbo	Huzhou	2.44141
Jiaxing	Huzhou	9.823778
Hefei	Huzhou	0.853835
Taizhou	Huzhou	0.867406
Nantong	Huzhou	0.584248
Nanjing	Huzhou	1.181335
Shanghai	Huzhou	6.229906
Changsha	Ji'an	1.37421
Jinhua	Ji'an	0.905338
Suzhou	Ji'an	0.555
Wenzhou	Ji'an	0.586147
Shenzhen	Ji'an	5.382443
Hangzhou	Ji'an	1.078703
Guangzhou	Ji'an	2.581485
Ningbo	Ji'an	0.615489
Jiaxing	Jinhua	2.139135
Jiaxing	Suzhou	3.598421
Jiaxing	Shaoxing	3.61141
Jiaxing	Yancheng	0.779737
Jiaxing	Wenzhou	1.729643
Jiaxing	Taizhou	0.678966
Jiaxing	Hangzhou	14.432068
Jiaxing	Wuxi	0.990282
Jiaxing	Suzhou	0.634361
Jiaxing	Ningbo	3.693609
Jinhua	Jiaxing	1.826203
Suzhou	Jiaxing	7.876203
Shaoxing	Jiaxing	2.825714
Wenzhou	Jiaxing	1.170771
Hangzhou	Jiaxing	33.588196
Wuxi	Jiaxing	1.171673
Ningbo	Jiaxing	3.374962
Jinan	Liaocheng	18.883177
Jinan	Shijiazhuang	0.895132
Jinan	Tianjin	1.078327
Jinan	Linyi	8.51797
Zhengzhou	Jinan	0.500695
Liaocheng	Jinan	6.490489
Shijiazhuang	Jinan	0.533628
Tianjin	Jinan	1.015451
Linyi	Jinan	4.635376
Shanghai	Jinan	0.780733
Lanzhou	Aqsu	0.570357
Liaocheng	Tianjin	0.615263
Liaocheng	Linyi	0.928647
Zhengzhou	Liaocheng	0.710583
Tianjin	Liaocheng	1.629342
Linyi	Liaocheng	1.717895
Shanghai	Liaocheng	0.552726
Linfen	Sanmenxia	0.680019
Zhengzhou	Linfen	0.859229
Xi'an	Linfen	2.453383
Tianjin	Linfen	0.841034
Beijing	Linfen	3.630601
Linyi	Yancheng	1.094737
Linyi	Yangzhou	0.564793
Linyi	Suzhou	0.658233
Linyi	Nantong	0.604474
Suzhou	Linyi	1.045545
Yancheng	Linyi	0.912105
Hangzhou	Linyi	0.667613
Wuxi	Linyi	0.505094
Tianjin	Linyi	0.588872
Nantong	Linyi	0.588947
Nanjing	Linyi	0.688891
Lishui	Jinhua	6.231936
Lishui	Shaoxing	0.690094
Lishui	Wenzhou	7.696842
Lishui	Hangzhou	1.448703
Lishui	Ningbo	0.904004
Lishui	Taizhou	1.73609
Jinhua	Lishui	21.83094
Suzhou	Lishui	0.739267
Shaoxing	Lishui	2.365564
Huzhou	Lishui	1.101447
Wenzhou	Lishui	19.704699
Hangzhou	Lishui	15.868233
Ningbo	Lishui	3.879079
Jiaxing	Lishui	1.598177
Taizhou	Lishui	3.733102
Shanghai	Lishui	2.519248
Lu'an	Suzhou	0.772575
Lu'an	Wuxi	0.697237
Lu'an	Suzhou	0.616729
