ESL 2.1	ESL 2.2	ESL 2.3	ESL 2.4	ESL 2.5	Gene annotation	COG
0	0.009803922	0	0.007843137	0.988826816	SDR family NAD(P)-dependent oxidoreductase	IQ
0	0.029411765	0.038461538	0.011764706	0.977653631	MFS transporter	EGP
0	0.009803922	0.009615385	0.003921569	0.932960894	pilin FimA	NU
0	0.107843137	0.278846154	0.035294118	0.921787709	M48 family metallopeptidas	O
0	0.058823529	0.048076923	0.035294118	0.910614525	restriction endonuclease	-
0.1	0.019607843	0.009615385	0.011764706	0.877094972	PLP-dependent aminotransferase family protein	K
0	0.019607843	0.009615385	0.007843137	0.854748603	hypothetical protein	-
0	0.31372549	0.298076923	0.160784314	0.960893855	HEPN domain-containing protein(VI CRISPR-Cas)	-
0.9	0.068627451	0.076923077	0.384313725	0.910614525	single-stranded DNA-binding protein	-
0.7	0.176470588	0.317307692	0.31372549	0.687150838	hypothetical protein	-
0.6	0.460784314	0.528846154	0.388235294	0.61452514	elongation factor Tu	J
0.9	0.37254902	0.471153846	0.411764706	0.625698324	Tfp pilus assembly protein FimV	NU
0	0.039215686	0.413461538	0.454901961	0.664804469	Purine ribonucleoside efflux pump NepI	EGP
0.1	0.37254902	0.365384615	0.368627451	0.553072626	hypothetical protein	-
0.3	0.450980392	0.432692308	0.552941176	0.642458101	aldehyde dehydrogenase (NADP(+))	C
