all	kl64	kl47	product
0	3	1	chromosomal replication initiator protein DnaA
1	6	5	DNA polymerase III subunit beta
2	8	9	DNA replication/repair protein RecF
3	4	7	DNA topoisomerase (ATP-hydrolyzing) subunit B
4	4	4	Non-coding region
5	2	29	Non-coding region
6	6	7	cytochrome b562
7	5	4	ATP-binding cassette domain-containing protein
8	11	9	Non-coding region
9	14	18	putative solute-binding protein
10	0	2	Non-coding region
13	5	3	iron-sulfur cluster insertion protein ErpA
14	26	24	anhydro-N-acetylmuramic acid kinase
15	3	6	Non-coding region
16	14	14	tyrosine--tRNA ligase
17	6	5	Non-coding region
18	8	10	Non-coding region
19	29	26	Non-coding region
20	9	11	Non-coding region
21	13	11	Non-coding region
22	12	11	Non-coding region
23	13	17	glutathione S-transferase family protein
24	7	6	TIGR04219 family outer membrane beta-barrel protein
25	9	8	sodium-dependent transporter
26	16	14	Non-coding region
27	23	6	methionine/alanine import family NSS transporter small subunit
28	10	10	methionyl-tRNA formyltransferase
29	9	2	dihydroxy-acid dehydratase
30	19	1	Non-coding region
31	13	2	Non-coding region
32	11	2	hypothetical protein
33	16	7	sulfite exporter TauE/SafE family protein
34	10	4	LysR family transcriptional regulator
35	17	3	solute carrier family 23 protein
36	8	5	phosphoenolpyruvate carboxylase
37	16	4	Non-coding region
38	17	8	Non-coding region
39	9	9	TetR/AcrR family transcriptional regulator
40	11	11	efflux RND transporter periplasmic adaptor subunit
41	12	4	efflux RND transporter permease subunit
42	22	0	Non-coding region
43	46	4	Non-coding region
44	17	3	hypothetical protein
45	6	2	molecular chaperone DnaJ
46	17	6	hypothetical protein
47	30	5	START domain-containing protein
48	24	3	MFS transporter
49	35	4	2%2C5-didehydrogluconate reductase DkgB
50	10	8	LysR family transcriptional regulator
51	8	4	hypothetical protein
52	3	0	PLP-dependent aminotransferase family protein
53	7	5	NADPH-dependent aldehyde reductase Ahr
54	10	4	DNA-3-methyladenine glycosylase I
55	10	6	hypothetical protein
56	4	5	Non-coding region
57	10	2	HIT family protein
58	12	4	DUF1328 domain-containing protein
59	9	1	PQQ-dependent sugar dehydrogenase
60	13	2	replication-associated recombination protein A
61	13	1	Non-coding region
62	14	4	formate/nitrite transporter family protein
63	9	3	hypothetical protein
64	8	7	hypothetical protein
65	5	3	Non-coding region
66	10	2	bifunctional nicotinamidase/pyrazinamidase
67	12	2	MATE family efflux transporter
68	7	4	Non-coding region
69	13	5	DUF523 domain-containing protein
70	11	5	4-hydroxyphenylpyruvate dioxygenase
71	10	2	IclR family transcriptional regulator
72	14	5	VOC family protein
73	7	2	maleylacetoacetate isomerase
74	12	3	Non-coding region
75	27	5	amino acid permease
76	21	2	D-Ala-D-Ala carboxypeptidase ZrlA
77	14	7	zinc metallochaperone GTPase ZigA
78	11	3	Non-coding region
79	13	11	acyltransferase family protein
80	9	8	histidine utilization repressor
81	12	2	HutD/Ves family protein
82	10	4	urocanate hydratase
83	10	3	histidine ammonia-lyase
84	27	6	Non-coding region
85	26	5	amino acid permease
86	11	4	imidazolonepropionase
87	23	7	Non-coding region
88	22	5	formimidoylglutamase
89	7	4	DUF885 domain-containing protein
90	16	5	Non-coding region
91	17	4	HAD family hydrolase
92	5	4	glutamine--fructose-6-phosphate transaminase (isomerizing)
93	2	4	Non-coding region
94	17	6	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
95	11	1	Non-coding region
96	9	5	phosphatidylglycerophosphatase A family protein
97	11	2	transcription antitermination factor NusB
98	14	3	bifunctional 3%2C4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II
99	3	1	hypothetical protein
100	11	7	Non-coding region
101	1	6	phosphoserine phosphatase SerB
102	2	5	ciprofloxacin tolerance protein AciT
103	12	5	hypothetical protein
104	2	1	nicotinate phosphoribosyltransferase
105	4	5	sulfurtransferase
106	6	10	archaetidylserine decarboxylase
107	9	6	acetamidase/formamidase family protein
108	7	14	Non-coding region
109	11	9	hypothetical protein
110	3	3	alpha/beta fold hydrolase
111	5	4	Non-coding region
112	10	9	phosphate regulon sensor histidine kinase PhoR
113	11	10	phosphate regulon transcriptional regulator PhoB
114	7	8	TetR/AcrR family transcriptional regulator
115	13	5	SDR family NAD(P)-dependent oxidoreductase
116	12	13	MATE family efflux transporter
117	19	16	pyridoxal phosphate-dependent aminotransferase
118	10	9	DUF445 domain-containing protein
119	1	4	Non-coding region
120	25	25	CC0125/CC1285 family lipoprotein
121	9	10	glutamate--cysteine ligase
122	14	14	Non-coding region
123	8	11	disulfide bond formation protein B
124	2	5	Non-coding region
125	8	8	Non-coding region
126	5	10	Non-coding region
127	16	7	LysM peptidoglycan-binding domain-containing protein
128	4	1	Non-coding region
129	10	6	hypothetical protein
130	9	6	SH3 domain-containing protein
131	9	10	alpha/beta fold hydrolase
132	10	9	YqiA/YcfP family alpha/beta fold hydrolase
133	8	2	DNA topoisomerase IV subunit B
134	6	3	Non-coding region
135	1	3	ureidoglycolate lyase
136	8	3	Non-coding region
137	10	1	FAD-dependent urate hydroxylase HpxO
138	5	4	outer membrane protein OmpK
139	14	3	nucleobase:cation symporter-2 family protein
140	10	2	hydroxyisourate hydrolase
141	11	2	allantoinase PuuE
142	18	11	HPF/RaiA family ribosome-associated protein
143	40	25	ankyrin repeat domain-containing protein
144	13	4	protein-disulfide reductase DsbD
145	22	1	Non-coding region
146	15	4	GGDEF domain-containing protein
147	9	5	alpha/beta hydrolase
148	3	9	DUF2147 domain-containing protein
149	8	4	arsenate reductase
